,ENTIDAD,OBJETIVO,IMPORTE,AÑO
142,"CLUB DEPORTIVO BASKET BILBAO BERRI, S.A.D.",Cesión Bilbao Arena temporada 2019-2020,-   €,2019
143,"GOBIERNO VASCO, CAMARA DE BILBAO Y BILBAO DENDAK","Programa ""Gerentes de espacios de comercio urbano de Bilbao""",-   €,2019
144,BILBAO DENDAK,Hirigune 2019,-   €,2019
145,DIPUTACIÓN FORAL BIZKAIA,Promoción turística de Bizkaia 2018,"400.000,00 €",2019
146,AGRUPACION COMERCIAL BILBAO CENTRO,Plan de actuación 2019,"82.000,00 €",2019
147,ASOCIACIÓN DE COMERCIANTES HIRU AUZO,Plan de Actuación 2019,"14.000,00 €",2019
148,LEYDYS FERNANDEZ ALARCON (HITZ),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"3.000,00 €",2019
149,"ANA SOLEDAD PALOMAR-IMANOL BAJO, C.B. (PROVENZA)",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"1.800,16 €",2019
150,"AYUNTAMIENTO BILBAO, UNIVERSIDAD DEUSTO Y FUNDACIÓN DEUSTO",Bilbao Next Lab,-   €,2019
151,UNIVERSIDAD DEUSTO Y FUNDACIÓN DEUSTO,Bilbao Next Lab,"200.000,00 €",2019
152,"LA UCI DEL MOVIL, S.L. (OSKAR RIOS DOMINGUEZ)",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"1.907,20 €",2019
153,Área de Vivienda,Colaboración servicios Javier Álvarez,-   €,2019
154,JUAN ANGEL GOMEZ IÑIGUEZ (CONFITERIA PANDI),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"3.000,00 €",2019
155,FUNDACION EUSKOIKER,MotoStudent - Fórmula Student,"15.000,00 €",2019
156,ELENA ALONSO DE BUEIS (LA KRAFTERIA DE CORAZON),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"1.798,25 €",2019
157,Ma SOLEDAD IBAÑEZ CANO (QUERIDO PLANETA),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"6.000,00 €",2019
158,"DIPUTACION FORAL BIZKAIA, BBK FUND. Y ASOC.CULT. MENDI FILM FESTIVAL",Celebración Mendi Film Festival (Ediciones 2019-2022),"345.000,00 €",2019
159,ASOC. PERSONAS TRASTORNO DEFICIT ATENCION E HIPERACTIVIDAD (AHIDA),Cesión de dos carpas y 10 vallas,-   €,2019
160,ASOC. EMPRESARIAS Y DIRECTIVAS DE BIZKAIA AED,Plan actuación 2019,"7.500,00 €",2019
161,ASOC. MUJER SIGLO XXI,Plan actuación 2019,"7.500,00 €",2019
162,INNOBASQUE AGENCIA VASCA DE LA INNOVACIÓN,GLOBAL INNOVATION DAY 2019,"7.500,00 €",2019
163,EDER AURRE,Proyección internacional del talento local en el ámbito de las industrias creativas,"600,00 €",2019
164,ALBERTO BARQUIN ALEJANDRO (BI BY JATERA),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"3.000,00 €",2019
165,ASOCIACION CENTRO INNOVACION DE BILBAO,Proyecto de impulso de tecnología digital en el sector turístico,"12.100,00 €",2019
166,JANIRE CHAPARRO PEREIRA (TUINKIS AMERICAN MARKET),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"1.090,36 €",2019
167,MAITE DEL OLMO GARCIA (BITXO BOLA),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.510,07 €",2019
168,"ALDAMA FABRE, S.L.","Exposición y proyección ""We Margiela Bilbao""","6.050,00 €",2019
169,"MELERO CALDERON, S.L. (LE CHOCOLAT BILBAO)",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.244,42 €",2019
170,XABIER OLMO ALONSO (OLAÑETA),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"3.000,00 €",2019
171,CECOBI,Acuerdo de Colaboración Transmisión de Empresas a emprendedores BIG Bilbao,-   €,2019
172,"UMAMIXE GASTRONOMIA, S.L. (UMAMIE)",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"5.985,00 €",2019
173,FUNDACIÓN FAIR SATURDAY,Anexo al Acuerdo de Colaboración 190506/Col.,-   €,2019
174,FUNDACIÓN NOVIA SALCEDO,Bilbao Youth Employment Forum (BYEF) 2019,"10.000,00 €",2019
175,DELEGACION MEDIOS COMUNICACIÓN ZONA NORTE (MEDIOSCOM),Bihotza Sariak 2019,"5.000,00 €",2019
176,"ITZIAR, S.L. (PATRICIO CARMONA)",Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"1.114,40 €",2019
177,UGAITZ ITURBE NAZABAL (UGABE GOURMET),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.004,53 €",2019
178,JOSE IGNACIO CONDE GOMEZ (BASQ LORE),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.649,67 €",2019
179,IDAMA,Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"3.000,00 €",2019
180,EZ PELETEROS S.L. (JOSE RAMON ARPON EZQUERRA),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"3.000,00 €",2019
181,NATALIA GOMEZ-ACEBO ARA (MAGNOLIA RARE BOOKS),Plan de ayudas a la promoción del comercio en el Casco Viejo de Bilbao,"2.915,81 €",2019
182,"ASOC. COMERCIOS, HOSTELERIA Y EMP. CASCO VIEJO BILBAO ZAZPIKALEAK",Desfile de moda y campaña de Navidad Asociación del Casco Viejo,"15.000,00 €",2019
183,ÁREA DE ACCION SOCIAL DEL AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
184,ÁREA DE ACCION SOCIAL DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
185,ÁREA  DE OBRAS Y PLANIFICACION URBANA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
186,ÁREA DE SERVICIOS Y CALIDAD DE VIDA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
187,ÁREA DE ATENCION Y  PARTICIPACION CIUDADANA DEl AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
188,AZKUNA ZENTROA,Promoción Plan de Empleo 2019,-   €,2019
189,BILBAO KIROLAK,Promoción Plan de Empleo 2019,-   €,2019
190,BILBAO ZERBITZUAK,Promoción Plan de Empleo 2019,-   €,2019
191,AREA DE GOBERNANZA Y PROYECTOS ESTRATEGICOS DEL AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
192,AREA DE IGUALDAD DEL AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
193,AREA DE HACIENDA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
194,ÁREA DE JUVENTUD Y DEPORTE DEL AYUNT. DE BILBAO,Promoción plan de Empleo 2019,-   €,2019
195,AREA DE SERVICIOS Y CALIDAD DE VIDA DEL AYUNT. DE BILBAO,Promocion Plan de Empleo 2019,-   €,2019
196,ÁREA DE OBRAS Y PLANIFICACION URBANA,Promoción Plan de Empleo 2019,-   €,2019
197,ÁREA DE SALUD Y CONSUMO DEL AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
198,ÁREA DE SEGURIDAD CIUDADANA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo 2019,-   €,2019
199,SURBISA,Promoción Plan de Empleo 2019,-   €,2019
200,ÁREA DE ATENCIÓN Y PARTICIPACIÓN CIUDADANA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
201,AZKUNA ZENTROA,Promoción Plan de Empleo Juvenil 2019,-   €,2019
202,BILBAO MUSIKA,Promoción Plan de Empleo Juvenil 2019,-   €,2019
203,BILBAO ZERBITZUAK,Promoción Plan de Empleo Juvenil 2019,-   €,2019
204,AREA DE CULTURA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
205,ÁREA DE HACIENDA DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
206,ÁREA DE IGUALDAD DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
207,ÁREA DE JUVENTUD Y DEPORTE DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
208,MERCABILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
209,AREA DE MOVILIDAD Y SOSTENIBILIDAD DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
210,ÁREA DE SALUD Y CONSUMO DEL AYUNT. DE BILBAO,Promoción Plan de Empleo Juvenil 2019,-   €,2019
211,AREA DE SEGURIDAD CIUDADANA,Promoción Plan de Empleo Juvenil 2019,-   €,2019
212,SURBISA,Promoción Plan de Empleo Juvenil 2019,-   €,2019
213,VIVIENDAS MUNICIPALES,Promoción Plan de Empleo Juvenil 2019,-   €,2019
214,BEAZ,BB Film Commission,-   €,2019
215,CAMARA DE COMERCIO Y OTROS,Great Wine Capitals-Global Network,"12.465,00 €",2019
216,BILBAO MUSIKA,Colaboración Fomento de Empleo 2019,-   €,2019
217,AREA DE ECONOMIA Y HACIENDA,Colaboración Fomento de Empleo 2019,-   €,2019
218,AREA DE MOVILIDAD Y SOSTENIBILIDAD,Colaboración Fomento de Empleo 2019,-   €,2019
219,AREA DE OBRAS Y PLANIFICACION URBANA,Colaboración Fomento de Empleo 2019,-   €,2019
220,VIVIENDAS MUNICIPALES,Colaboración Fomento de Empleo 2019,-   €,2019
221,AZKUNA CENTROA,Colaboración Fomento de Empleo 2019,-   €,2019
222,ASOCIACIÓN COMERCIANTES HIRU AUZO,Apoyo al mantenimiento de la actividad de la Asociación,"3.426,00 €",2019
223,AREA DE GOBERNANZA DEL AYUNTAMIENTO,Adscricpión Área Internacional y Oficina de Proyectos Europeos,-   €,2019
224,BILBAOHISTORIKO ELKARTEA,Expo Gela. Acciones de promoción y dinamización,"55.000,00 €",2018
225,SETENTA INVISIBLES LA PELICULA AIE,"Apoyo a la producción del largometraje ""70 BinLadens""",-   €,2018
226,BASQUE FILMS SERVICE SL,"Apoyo a la producción del largometraje ""Plataforma""",-   €,2018
227,"MTV NETWORKS EUROPE, INC.",MTV Europe Awards,"550.000,00 €",2018
228,"FEDERACION ESPAÑOLA DE RUGBY, GV, DFB y AYUNTAMIENTO",Finales EPCR Rugby 2018,,2018
229,AYUNTAMIENTO DE BILBAO - AREA DE COMUNICACIÓN,Colaboración en funciones,-   €,2018
230,UNIVERSIDAD DEL PAIS VASCO / MUSEO MARITIMO / CONTAINERS AURTENETXEA,Intervenciones artísticas BILBAO ART DISTRICT,"1.500,00 €",2018
231,"BILBAO KIROLAK, S.A.",Puesta a disposición espacio para instalación alojamiento temporal durante las finales de rugby,-   €,2018
232,FEDERACION VASCA DE RUGBY Y GETXO RUGBY TALDEA,Organización Continental Shield en Fadura,"15.000,00 €",2018
233,FUNDACION ITAKA ESCOLAPIOS,"Colaboración Fundación Itaka ""Programa OJALA 2017-18""","17.000,00 €",2018
234,"ÁREA DE EUSKERA, EDUCACIÓN AY. BILBAO",Plan de Normalización del uso del euskera en el comercio 2018,"30.000,00 €",2018
235,ELHUYAR FUNDAZIOA,Centro de red BIZILABE,"80.000,00 €",2018
236,"EIKEN, CLUSTER DEL SECTOR AUDIOVISUAL DE EUSKADI",Becas EIKEN TALENT,"4.000,00 €",2018
237,UPV-EHU (FACULTAD DE BELLAS ARTES),Intervenciones artísticas del alumnado en el Paraninfo Bizkaia Aretoa (Bilbao Art District),"1.500,00 €",2018
238,DIPUTACION FORAL DE BIZKAIA,"Protocolo intenciones celebración ""The world ́s best restaurants-50 Best""",-   €,2018
239,AYUNTAMIENTO DE BILBAO,Acciones locales de promoción del empleo,-   €,2018
240,"GRUPO SERVICIOS SOCIALES INTEGRADOS, S. COOP.",Colaboración programa SOCEM HUB-Emprende en la Silver Economy,-,2018
241,AYUNTAMIENTO DE BILBAO,Plan de Empleo Juvenil,,2018
242,Ayuntamiento de Bilbao - Bilbao Dendak Hirigune,Hirigune,,2018
243,MONDRAGON,Fintech,"60.000,00 €",2018
244,ASOCIACIÓN DE CLUBES DE TRAINERAS - ACT,Modificación fecha IX Bandera de Bilbao - Liga Eusko Label,"25.000,00 €",2018
245,"BILBAO BASKET, S.A.D.",Cesión Bilbao Arena,-   €,2018
246,COLEGIO DE DECORADORES Y DISEÑADORES DE BIZKAIA,BiziaGo 2018,"27.912,70 €",2018
247,"MTV NETWORKS EUROPE, INC Y BILBAO EXHIBITION CENTRE, S.A.",Protocolo de uso y funcionamiento BEC (MTV EMA - 04 Noviembre 2018),-   €,2018
248,VIVIENDAS MUNICIPALES,Locales Corazón de María,-   €,2018
249,BILBAO DENDAK,Colaboración anual (recoge subvenciones nominativas),-   €,2018
250,"GOBIERNO VASCO, CAMARA DE BILBAO Y BILBAO DENDAK","Programa ""Gerentes de espacios de comercio urbano de Bilbao""",-   €,2018
251,FUNDACIÓN SOLIDARTERS,Anexo al Acuerdo Colaboración 180302/Col.,-   €,2018
252,FUNDACIÓN THE WALK ON PROJECT,Anexo al Acuerdo Colaboración 180304/Col.,-   €,2018
253,FUNDACIÓN NOVIA SALCEDO,Anexo al Acuerdo Colaboración 180704/Col.,-   €,2018
254,AGENCIAS DE PUBLICIDAD DE BIZKAIA,Anexo al Acuerdo Colaboración 180401/Col.,-   €,2018
255,ASOC. EMPRESARIAS Y DIRECTIVAS DE BIZKAIA,Anexo al Acuerdo Colaboración 180702/Col.,-   €,2018
256,ASOC. CULT. ESPACIO PLAZA SAREAN KULTUR ELKARTEA,Proyecto de dinamización en Corazón de María,-   €,2018
