,ENTIDAD,OBJETIVO,IMPORTE,AÑO
312,FUNDACION ITAKA ESCOLAPIOS,Programa Ojalá,"17.000,00 €",2017
313,FUNDACION ADSIS,Eurocip VIII,-,2017
314,ESCUELA PROFESIONAL DE OTXARKOAGA,Eurocip VIII,-,2017
315,"PEÑASCAL, S.COOP.",Eurocip VIII,-,2017
316,UNIVERSIDAD DE LA IGLESIA DE DEUSTO,Technoshop 2017,"35.000,00 €",2017
317,MTV NETWORKS EUROPE,Colaboración MTV Awards 2018,"3.000.000,00 €",2017
318,"ADMINISTRACIÓN DE LA COMUNIDAD AUTÓNOMA DEL PAÍS VASCO, AYUNTAMIENTO DE BILBAO, CAMARA DE COMERCIO",,,2017
319,INDUSTRIA Y NAVEGACIÓN DE BILBAO Y PLATAFORMA PÚBLICO-PRIVADA PARA LA PROMOCIÓN DE LA ACTIVIDAD,Gerentes de centros comerciales urbanos,"90.000,00 €",2017
320,COMERCIALY TURÍSTICA DE BILBAO - BILBAO DENDAK,,,2017
321,LANBIDE - SERVICIO VASCO DE EMPLEO,Colaboración convocatoria ayudas emprendedores 2017,-,2017
322,ASOCIACIÓN DE APOYO AL DESARROLLO EMPRESARIAL DEMA-ENPRESA GARAPENA DE BARAKALDO,Lanzaderas de empleo y empleo solidario - Anezka Bilbao,-,2016
323,FUNDACION ITAKA ESCOLAPIOS,Colaboración Fundación Itaka,"17.000,00 €",2016
324,UNIVERSIDAD DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA - FUNDACIÓN BILBAO ARTE FUNDAZIOA,Arteshop 2016,-,2016
325,ASOCIACION DESTINOS EUSKADI,Plan anual Destinos Euskadi 2016,"11.979,00 €",2016
326,UNIVERSIDAD DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA,Intervenciones artísticas UPV-Facultad Bellas Artes en Bilbao Art District,"2.100,00 €",2016
